22:49:11.684 > Gyroscope sample rate = 104.00 Hz
22:49:11.692 > Accelerometer sample rate = 104.00 Hz
22:49:11.702 > 
22:49:11.702 > Idx   Gyroscope in degrees/second  Acceleration in g/second 
22:49:11.718 > 		X	Y	Z		X	Y	Z
22:49:12.358 > 68	-0.24	0.00	-0.18	0.00	-0.03	1.00
22:49:12.368 > 69	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.377 > 70	-0.24	0.06	-0.18	0.00	-0.03	1.00
22:49:12.386 > 71	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.396 > 72	-0.24	0.00	-0.06	-0.00	-0.03	1.00
22:49:12.406 > 73	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.415 > 74	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.425 > 75	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.434 > 76	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.444 > 77	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.453 > 78	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.463 > 79	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.473 > 80	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.482 > 81	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.492 > 83	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.501 > 84	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.511 > 85	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.521 > 86	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.530 > 87	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.539 > 88	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.549 > 89	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.559 > 90	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.568 > 91	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.578 > 92	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.587 > 93	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.597 > 94	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.607 > 95	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.616 > 96	-0.24	0.00	-0.18	-0.00	-0.03	1.00
22:49:12.626 > 97	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.636 > 98	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.645 > 99	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.655 > 100	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.664 > 100 rounds over
22:49:12.669 > 1	-0.24	-0.06	-0.06	-0.00	-0.03	1.00
22:49:12.678 > 2	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.687 > 3	-0.24	0.00	-0.06	-0.00	-0.03	1.00
22:49:12.697 > 4	-0.24	0.00	-0.12	-0.00	-0.03	1.00
